rs_min=1.0, rs_max=10.0, # rs vals = 91 
Kernel, Mean error, MAE, Std. dev. 
RPA, -0.014387192305544052, 0.014387192305544052, 0.0018092023313065024
ALDA, 0.01275018749366628, 0.01275018749366628, 0.0013250637364236495
DLDA, 0.0010823818616487956, 0.0012889171167607056, 0.0011242153653549054
MCP07 static, 0.0008358422873945728, 0.0012771526975190618, 0.001160283507542847
MCP07_k0, -0.004591690126704042, 0.004591690126704042, 0.0012591241876053023
MCP07, -0.0004961745454889067, 0.0010771622262607243, 0.0013382433203154452
QV, 0.001455056251251118, 0.0017047992608694418, 0.0013580361092560406
QV hyb 1, -4.718030170310091e-05, 0.0010735797355702105, 0.0013104460806219458
QV hyb 2, -0.0012510804107306933, 0.0014909703806102925, 0.0017067899544970222
